"","ENSG00000007306.15","ENSG00000016490.16","ENSG00000016602.9","ENSG00000073756.12","ENSG00000088340.17","ENSG00000091138.13","ENSG00000102878.17","ENSG00000103569.10","ENSG00000115386.6","ENSG00000122862.5","ENSG00000125538.12","ENSG00000132465.12","ENSG00000137634.10","ENSG00000140274.14","ENSG00000140279.13","ENSG00000143546.10","ENSG00000144820.8","ENSG00000149968.12","ENSG00000162747.12","ENSG00000162896.6","ENSG00000163735.7","ENSG00000166432.15","ENSG00000166670.10","ENSG00000169245.6","ENSG00000169429.11","ENSG00000171049.9","ENSG00000171051.9","ENSG00000172023.8","ENSG00000174992.8","ENSG00000179914.5","ENSG00000196611.5","ENSG00000198488.10","ENSG00000198788.9","ENSG00000204681.11","ENSG00000211592.8","ENSG00000211598.2","ENSG00000211666.2","ENSG00000211679.2","ENSG00000211890.4","ENSG00000211895.5","ENSG00000211899.10","ENSG00000211949.3","ENSG00000214021.16","ENSG00000224650.2","ENSG00000239951.1","ENSG00000243466.1","ENSG00000245532.9","ENSG00000251562.8","ENSG00000262406.3","ENSG00000275395.6"
"TCGA-AZ-4616",6.81682310823428,10.5570650254991,5.67545427241025,7.93686871756529,9.19555433994377,5.75503272742075,8.59750641499556,7.12461385087939,12.4382352702376,10.1431837696121,8.35727341110663,9.44237553436287,3.81093628293437,9.10873641546886,11.4342562858246,7.97310213771685,8.61273197902469,12.3048067393479,5.95831108560152,16.6264289050251,9.9768480494939,5.4350852404722,6.80931476361301,12.0832487294421,11.896599312484,5.22405727078091,6.07367698154703,9.04302408131313,7.85677304106887,4.90585181273711,12.7895381937595,5.88131830261048,11.5514446573343,9.52180291470883,14.092978264356,9.96365289144254,6.94565536587651,8.98941118445249,11.1452560830881,13.2423610539494,10.3456988319708,6.69446378006605,7.94573153797938,6.39888756562069,8.0137324360628,8.35741212913578,13.7528757726749,12.0006550394548,10.1375637203931,11.1333351605813
"TCGA-AY-A71X",10.0634826540466,15.5011944964183,5.21860376511701,6.78261388700798,10.0257672411758,6.32142794981481,10.2868905045581,4.310181931409,11.3690869710704,7.17028215888403,7.3858673973145,8.37810512783835,10.6469639633913,11.507519020287,13.4881893862713,5.15194223886653,4.39446363651266,8.01218048496042,4.56069397028253,17.0052105702263,3.33164399148894,8.39699846285549,6.34167878879894,6.91949179123212,7.29067187752451,3.84933687008733,4.34515859824039,5.89135926795194,10.3730517320856,13.1241750719512,9.6288918263208,11.0543343869099,17.0166127003113,11.1088571146627,11.5606156591663,5.71350559586753,5.73577447389462,7.80175321098473,9.39614081525931,10.2678427666762,7.51703304389293,6.59255417468859,10.5473762398522,5.09110667028669,7.43465571215987,6.06027017002261,14.4498905485434,13.0735754127831,8.88388953979108,16.6465910969225
"TCGA-AZ-6603",12.1647222722828,12.4665182906493,4.8358697308332,7.68604780232127,9.7679528548292,12.3576319042575,8.06433490917821,6.43757871853091,7.265703315878,9.84322256949125,8.74984560507863,11.3132097155264,10.5457571977191,6.58902455816609,10.3976621402331,8.29564495311466,7.0753537089212,9.20805751494486,6.29613844502221,13.4633883952655,8.06370925359103,8.4953290397347,6.53632306668239,11.0523747737564,9.3557420301474,6.05890022189091,7.79788905695978,5.92012206423067,8.02070086992489,9.53454400460661,9.77456070960039,7.28771042894616,12.3582014140496,8.13717248684413,14.1104205255662,10.3938729129735,9.9644803463401,9.52269025381197,12.673134067877,13.6906919478101,10.6340353298638,9.15349674863728,9.23947218366605,7.55562741596235,9.93335346781433,9.24835255367135,12.9369996127233,12.2748115231621,9.69354137360542,12.0970383379555
"TCGA-G4-6627",14.4121652522386,16.045879449233,10.7863434277326,9.18965628658958,8.95523744401466,14.4618574014018,7.14040486977707,7.56873926569477,10.7442119335826,11.6173745514118,9.7519009921222,15.2708349468593,11.32286775478,10.0424682351896,13.44777586539,7.82702933103019,8.18263118967406,9.21154621956482,7.6565095673558,17.3706863515535,6.66045387698341,7.17627208401106,6.22927066271634,9.90011323296246,11.3715447056342,5.7005801476215,8.02740743676313,8.70295352339389,10.2978134172288,14.8755446397665,11.116117102662,10.2490639924891,15.2523395682493,8.99660186939928,16.9717398229281,12.1862396300254,12.1336675678033,13.0577340809089,16.326612473881,16.8257056309383,14.5821489652685,11.4420332558626,8.21601928071868,10.535266053813,13.1310157359389,11.903273634673,12.7960307768241,12.1299084349616,9.85550485276403,15.6779331676922
"TCGA-AZ-6599",8.32281925258405,19.9669444998825,5.53139148158352,6.94934093641335,9.81866951447942,5.0374113011699,10.2627974699007,3.84439221718486,12.9856271179069,8.06023056859124,11.1815681413008,11.8759267039046,8.72367666808787,8.47206470547617,11.1934015435375,5.13434765344487,4.92561401815468,4.38510661105309,4.24850327608085,17.4163154204208,4.10710574833614,6.57454605854835,3.98640457281421,5.94699545202976,7.94465520185925,3.44336105185823,4.31440074501315,10.498083032454,4.96508692187647,12.2980677289037,5.866136281192,14.1141596180689,18.0234392425148,9.89590638022686,13.3781422454517,10.2235772068623,9.02971309684482,9.40792292493631,12.175662678737,14.3679297795252,13.1775718109935,9.91309808418346,10.0510814824596,6.50575752732182,8.45123138988462,9.22064955049819,12.5392799295734,12.4477166346609,5.79459793262552,17.8215908916226
"TCGA-F4-6809",10.2096421587683,7.19667842701948,6.18079196032252,9.23166973640427,7.36361474244444,9.98356158138412,9.10547337851713,6.28226283767984,5.51921217239801,10.5774050962925,7.5874889728823,11.1468258440262,10.6544192269866,4.85356994299381,7.30722782628273,6.65171145033343,4.75392786650185,6.79853774886953,4.72515879551595,14.9718097385954,4.58370510001242,7.6073687178226,4.44416571540656,9.11787465913485,9.58636755239085,4.54324683276213,6.36519770819462,4.35028528642071,8.05866641411868,5.69504645362977,5.41089361735859,4.79939780409262,11.757809320322,10.1109178273954,14.7749199405766,9.00435312553693,8.75842364516442,9.80631653709029,11.1950473379187,14.8235213615046,13.1360199727439,8.05314451719194,8.92556227563269,6.05240373762525,9.41037657427706,8.8744896451976,13.0040239507106,12.7542721069034,8.85451658546158,10.5796963398351
"TCGA-5M-AAT6",4.59209729888898,5.06741758737403,5.09007908584065,7.65605665905236,8.53006010791669,4.83378168065371,8.49209711737176,7.71053246087919,14.7947452327862,11.5040177830018,7.14817502255234,12.1932574858184,8.57425461143961,5.57921341604382,7.85761115170566,8.55525175774045,8.55872816554044,6.85647245546372,5.58974778031072,15.982546439923,5.17545608439363,6.78036710759626,5.48699843521538,10.8044614727121,9.34752387156946,5.41643888566575,8.78097429511183,10.5545039312239,3.9268890191108,4.83199282323237,11.9810126490231,5.02328879249708,15.7244008616765,10.0127628932012,17.1038450635061,12.3215586643675,10.5821007814772,11.904934057463,11.0738841965913,14.5637220730302,12.3610393378534,10.6496227090013,8.37820400475683,8.37362724132603,13.2932536237489,11.9009212163713,13.213704517384,11.8246234484168,10.2695747820526,8.22031179014321
"TCGA-A6-6653",11.7355320673485,8.9787766870218,7.82305068647095,8.92037335647502,5.38901741475276,5.08365473618523,5.7636552850162,7.14732462717393,15.0370707828054,10.2229679452391,10.7470070725533,8.21501457390367,4.53911862485263,4.73227223719612,7.36278808341339,7.35570482079737,11.1206161457008,12.0856776910738,5.8640570376132,17.1575431508435,9.16573806062686,6.10426785385741,9.03069723692052,8.71159491505074,12.5516887695884,6.1217661654842,7.27174331119544,8.92521937954694,4.16297621529978,4.24564729287874,12.1040331260983,6.02741005629797,16.6674684694192,6.63318048109267,12.1456137519991,8.63883966632205,8.56491637966989,7.45676447456099,8.66436970939325,12.0079998448247,8.47082694984138,7.1680469287631,6.24367274738196,4.92210684977171,7.93727168517038,8.37146309013213,10.6869374038616,9.84732184413615,11.4742248249655,15.7677739520946
"TCGA-AZ-4684",13.0667468954076,8.11426675678263,9.35348647698434,9.92977642597343,10.2340930875288,15.0922047220791,8.77520831089866,8.21665076060676,11.7966854483016,11.7615832949907,10.4076851046437,14.1723484303192,11.5687018426092,9.96889597442873,12.1242406434404,9.23267540127893,5.97220716394465,12.970445740271,7.43219271826268,15.946645995395,10.4466269284837,5.19686634768218,8.59232751200309,8.13489673260151,12.7098426070514,7.00850024771994,9.06799736013923,9.33108866720568,11.6102708767377,10.4102092978155,13.5229397997759,7.21136563890305,13.9329654746822,7.85851743339728,17.8539178340774,12.9032002005483,11.4063912153423,10.1475326359553,15.6131583801023,16.1027878263652,14.1187605763419,12.121017317129,8.37003121531657,9.82127830711782,11.9861275295828,13.3732606149287,13.43456845048,13.5519090834195,11.4123506787284,12.2969991788862
"TCGA-D5-6534",10.8393144783191,12.5174593258316,9.43121148903521,8.18574847137259,7.31661363566658,11.719266267839,7.3609184060032,9.05446643742617,9.89821230211598,12.0815335048364,8.85168005185567,13.8977227144785,8.66843106059479,4.34647959783527,7.16910528009979,8.5628765043756,6.54280770041861,9.02704607098708,8.06938243813043,13.9254724736534,12.4000809954324,7.89897378919683,11.2433786144509,10.6779951817075,10.5884224319614,6.51654053854717,9.3780692853924,4.37211187141203,11.104627941994,9.65888773711108,11.9890263221647,7.12713993707211,14.4757795022312,8.80738704356075,16.9320047905087,11.7572381768977,12.2477290146797,12.7487869747677,14.3822236733772,15.7872228228332,16.5242286797064,11.7950344672966,8.44328966631336,10.3133811071079,13.1382643928629,12.0037780634267,12.9266034870779,11.7876034651302,10.1800615783478,13.5674486240385
